nodeID,nodeLabel,nodeLong,nodeLat
776,776,-115.119356,36.129952
777,777,-115.293392,36.129879
778,778,-115.146624,36.129789
779,779,-115.132602,36.129921
782,782,-115.104549,36.129637
783,783,-115.105907,36.129863
784,784,-115.284794,36.129743
786,786,-115.127338,36.129789
788,788,-115.100498,36.129601
789,789,-115.101815,36.129831
790,790,-115.110985,36.129901
791,791,-115.109214,36.129666
792,792,-115.091344,36.129497
793,793,-115.093101,36.129727
795,795,-115.131822,36.129724
796,796,-115.127664,36.129981
797,797,-115.302718,36.129946
799,799,-115.113586,36.129694
800,800,-115.114922,36.129927
801,801,-115.298261,36.129942
802,802,-115.096203,36.129549
816,816,-115.2791,36.134535
822,822,-115.279106,36.139997
823,823,-115.279101,36.137366
824,824,-115.277808,36.170148
827,827,-115.081719,36.244413
828,828,-115.115695,36.165548
829,829,-115.118734,36.158166
830,830,-115.118072,36.046217
831,831,-115.118354,36.045564
832,832,-115.116073,36.174776
833,833,-115.11629,36.172852
834,834,-115.115886,36.170529
835,835,-115.116103,36.169651
836,836,-115.118585,36.074836
837,837,-115.119054,36.158343
838,838,-115.118404,36.130434
839,839,-115.118713,36.1292
840,840,-115.118113,36.053615
841,841,-115.118568,36.126534
842,842,-115.119009,36.115688
843,843,-115.119333,36.11378
844,844,-115.118735,36.155639
845,845,-115.119004,36.154683
846,846,-115.117566,36.160725
847,847,-115.117893,36.160176
848,848,-115.1187,36.132051
849,849,-115.118746,36.09342
850,850,-115.119006,36.092328
851,851,-115.118924,36.107908
852,852,-115.119215,36.106819
853,853,-115.115992,36.17855
854,854,-115.11573,36.163259
855,855,-115.118821,36.139826
856,856,-115.116273,36.177609
857,857,-115.118367,36.06458
859,859,-115.11872,36.152173
860,860,-115.118982,36.151301
861,861,-115.118592,36.141229
862,862,-115.11895,36.081505
863,863,-115.11625,36.188128
864,864,-115.118727,36.13591
865,865,-115.118445,36.134499
866,866,-115.118624,36.080013
867,867,-115.118884,36.078432
868,868,-115.118921,36.124463
869,869,-115.118713,36.090209
870,870,-115.118982,36.08945
871,871,-115.118795,36.096978
872,872,-115.119046,36.096159
873,873,-115.118312,36.048957
874,874,-115.118047,36.050054
875,875,-115.119025,36.111481
876,876,-115.119279,36.110553
877,877,-115.118679,36.085495
878,878,-115.119007,36.085678
879,879,-115.118648,36.145313
880,880,-115.118945,36.143589
881,881,-115.115966,36.185822
882,882,-115.116213,36.184325
884,884,-115.118695,36.148711
885,885,-115.118926,36.147753
886,886,-115.115946,36.165751
887,887,-115.116075,36.162553
888,888,-115.118462,36.068006
889,889,-115.118562,36.072358
890,890,-115.118801,36.07043
891,891,-115.119088,36.120507
892,892,-115.118892,36.104319
893,893,-115.11913,36.102031
894,894,-115.118832,36.1008
895,895,-115.119084,36.099028
896,896,-115.118729,36.122755
897,897,-115.118437,36.137729
898,898,-115.118849,36.120032
899,899,-115.119275,36.117272
900,900,-115.118498,36.058568
901,901,-115.118155,36.057454
902,902,-115.11843,36.055495
903,903,-115.115931,36.181906
904,904,-115.116211,36.18043
915,915,-115.147603,36.19645
916,916,-115.147291,36.199935
917,917,-115.134203,36.114735
918,918,-115.086206,36.114958
919,919,-115.198739,36.115299
920,920,-115.199147,36.115658
921,921,-115.237019,36.11438
922,922,-115.062289,36.115067
923,923,-115.0682,36.115067
924,924,-115.087747,36.115328
925,925,-115.260057,36.114539
926,926,-115.123411,36.114519
927,927,-115.124402,36.114797
928,928,-115.204247,36.115658
929,929,-115.14279,36.114792
930,930,-115.203447,36.115339
932,932,-115.141726,36.11449
933,933,-115.207468,36.115328
934,934,-115.208734,36.115581
935,935,-115.211657,36.115437
936,936,-115.079685,36.114841
937,937,-115.2198,36.114638
938,938,-115.221197,36.114889
940,940,-115.118247,36.114582
941,941,-115.1199,36.11483
942,942,-115.211517,36.11512
943,943,-115.228991,36.114378
944,944,-115.230289,36.114697
945,945,-115.112663,36.114777
946,946,-115.160782,36.114249
949,949,-115.105928,36.114978
950,950,-115.187839,36.115577
951,951,-115.159722,36.114547
952,952,-115.051998,36.11496
953,953,-115.223681,36.114417
954,954,-115.225499,36.114651
955,955,-115.162989,36.11435
956,956,-115.164967,36.11467
957,957,-115.171635,36.114505
958,958,-115.174108,36.114868
959,959,-115.2159,36.114858
960,960,-115.21738,36.115107
961,961,-115.136057,36.11444
962,962,-115.139003,36.114731
963,963,-115.07194,36.11508
964,964,-115.072942,36.114815
965,965,-115.06533,36.115028
966,966,-115.057638,36.115228
967,967,-115.256567,36.114508
968,968,-115.149887,36.114613
969,969,-115.151226,36.114835
970,970,-115.152793,36.114323
971,971,-115.15475,36.114435
972,972,-115.156381,36.114177
973,973,-115.097128,36.115437
974,974,-115.100032,36.115111
975,975,-115.102428,36.115359
978,978,-115.242402,36.114381
979,979,-115.248429,36.114419
980,980,-115.239669,36.11471
981,981,-115.24794,36.114677
982,982,-115.090935,36.115113
983,983,-115.093068,36.115457
984,984,-115.079927,36.115067
986,986,-115.113229,36.11508
987,987,-115.128009,36.114488
988,988,-115.129295,36.114765
989,989,-115.244168,36.11465
990,990,-115.145735,36.11455
991,991,-115.147364,36.114857
992,992,-115.132623,36.114462
993,993,-115.251028,36.114428
994,994,-115.233312,36.114381
995,995,-115.234497,36.11471
996,996,-115.189479,36.11539
997,997,-115.192898,36.115718
1000,1000,-115.193618,36.115359
1001,1001,-115.195258,36.115718
1011,1011,-115.129813,36.164484
1014,1014,-115.137033,36.167604
1015,1015,-115.136367,36.167469
1017,1017,-115.111989,36.155321
1020,1020,-115.124434,36.162164
1021,1021,-115.125563,36.162848
1024,1024,-115.119168,36.160082
1025,1025,-115.1323,36.165569
1026,1026,-115.133245,36.166125
1031,1031,-115.101677,36.146203
1033,1033,-115.105142,36.149271
1034,1034,-115.104553,36.148161
1035,1035,-115.257381,36.268021
1036,1036,-115.028895,36.0483
1037,1037,-115.029193,36.047747
1038,1038,-115.029139,36.042463
1039,1039,-115.029002,36.04574
1040,1040,-115.029345,36.044744
1041,1041,-115.028779,36.051157
1042,1042,-115.029138,36.050649
1045,1045,-115.102038,36.224997
1056,1056,-115.082592,36.066625
1059,1059,-115.084284,36.063318
1063,1063,-115.085106,36.060125
1064,1064,-115.082623,36.051603
1066,1066,-115.082539,36.048555
1068,1068,-115.082585,36.070263
1069,1069,-115.084061,36.055913
1078,1078,-115.05807,36.108748
1094,1094,-115.052089,36.11028
1118,1118,-115.290368,36.198199
1119,1119,-115.300037,36.198108
1120,1120,-115.294911,36.19926
1121,1121,-115.300672,36.197682
1123,1123,-115.300023,36.205549
1126,1126,-115.0806,36.188628
1127,1127,-115.147458,36.181
1136,1136,-114.962088,36.012528
1137,1137,-114.964116,36.012814
1139,1139,-114.977503,36.012683
1140,1140,-114.968112,36.012709
1143,1143,-114.973527,36.012719
1145,1145,-114.981925,36.012664
1168,1168,-115.224316,36.207688
1169,1169,-115.223692,36.166865
1171,1171,-115.22388,36.192441
1172,1172,-115.224107,36.19175
